FILE NAME                 | TIER TYPE       | START TIME (sec)   | END TIME (sec)     | TEXT / SOUND   
--------------------------------------------------------------------------------------------------
00JS.TextGrid             | WORDS           | 0.4700             | 1.0700             | frighten       
00JS.TextGrid             | PHONES          | 0.4700             | 0.5700             | F              
00JS.TextGrid             | PHONES          | 0.5700             | 0.6000             | R              
00JS.TextGrid             | PHONES          | 0.6000             | 0.7200             | AY1            
00JS.TextGrid             | PHONES          | 0.7200             | 0.8300             | T              
00JS.TextGrid             | PHONES          | 0.8300             | 0.8800             | AH0            
00JS.TextGrid             | PHONES          | 0.8800             | 1.0700             | N              


08XP.TextGrid             | WORDS           | 0.6400             | 1.1900             | plague         
08XP.TextGrid             | PHONES          | 0.6400             | 0.6700             | P              
08XP.TextGrid             | PHONES          | 0.6700             | 0.7600             | L              
08XP.TextGrid             | PHONES          | 0.7600             | 0.9300             | EY1            
08XP.TextGrid             | PHONES          | 0.9300             | 1.1900             | G              


0ALV.TextGrid             | WORDS           | 0.2900             | 0.7000             | fail           
0ALV.TextGrid             | PHONES          | 0.2900             | 0.3700             | F              
0ALV.TextGrid             | PHONES          | 0.3700             | 0.6400             | EY1            
0ALV.TextGrid             | PHONES          | 0.6400             | 0.7000             | L              


0AlU.TextGrid             | WORDS           | 0.6000             | 1.1600             | bath           
0AlU.TextGrid             | PHONES          | 0.6000             | 0.6800             | B              
0AlU.TextGrid             | PHONES          | 0.6800             | 0.9500             | AE1            
0AlU.TextGrid             | PHONES          | 0.9500             | 1.1600             | TH             


0I2c.TextGrid             | WORDS           | 0.4600             | 1.0100             | continental    
0I2c.TextGrid             | WORDS           | 1.0100             | 1.3300             | drift          
0I2c.TextGrid             | WORDS           | 1.3300             | 1.4400             | is             
0I2c.TextGrid             | WORDS           | 1.4400             | 1.4900             | a              
0I2c.TextGrid             | WORDS           | 1.4900             | 2.0800             | geological     
0I2c.TextGrid             | WORDS           | 2.0800             | 2.4900             | theory         
0I2c.TextGrid             | PHONES          | 0.4600             | 0.5100             | K              
0I2c.TextGrid             | PHONES          | 0.5100             | 0.6100             | AA2            
0I2c.TextGrid             | PHONES          | 0.6100             | 0.6900             | N              
0I2c.TextGrid             | PHONES          | 0.6900             | 0.7200             | T              
0I2c.TextGrid             | PHONES          | 0.7200             | 0.7600             | AH0            
0I2c.TextGrid             | PHONES          | 0.7600             | 0.8000             | N              
0I2c.TextGrid             | PHONES          | 0.8000             | 0.8300             | EH1            
0I2c.TextGrid             | PHONES          | 0.8300             | 0.9000             | N              
0I2c.TextGrid             | PHONES          | 0.9000             | 0.9500             | T              
0I2c.TextGrid             | PHONES          | 0.9500             | 0.9800             | AH0            
0I2c.TextGrid             | PHONES          | 0.9800             | 1.0100             | L              
0I2c.TextGrid             | PHONES          | 1.0100             | 1.0900             | D              
0I2c.TextGrid             | PHONES          | 1.0900             | 1.1400             | R              
0I2c.TextGrid             | PHONES          | 1.1400             | 1.1800             | IH1            
0I2c.TextGrid             | PHONES          | 1.1800             | 1.2900             | F              
0I2c.TextGrid             | PHONES          | 1.2900             | 1.3300             | T              
0I2c.TextGrid             | PHONES          | 1.3300             | 1.4000             | IH1            
0I2c.TextGrid             | PHONES          | 1.4000             | 1.4400             | Z              
0I2c.TextGrid             | PHONES          | 1.4400             | 1.4900             | AH0            
0I2c.TextGrid             | PHONES          | 1.4900             | 1.5800             | JH             
0I2c.TextGrid             | PHONES          | 1.5800             | 1.6200             | IY2            
0I2c.TextGrid             | PHONES          | 1.6200             | 1.6900             | AH0            
0I2c.TextGrid             | PHONES          | 1.6900             | 1.7400             | L              
0I2c.TextGrid             | PHONES          | 1.7400             | 1.8100             | AA1            
0I2c.TextGrid             | PHONES          | 1.8100             | 1.8800             | JH             
0I2c.TextGrid             | PHONES          | 1.8800             | 1.9300             | IH0            
0I2c.TextGrid             | PHONES          | 1.9300             | 1.9900             | K              
0I2c.TextGrid             | PHONES          | 1.9900             | 2.0300             | AH0            
0I2c.TextGrid             | PHONES          | 2.0300             | 2.0800             | L              
0I2c.TextGrid             | PHONES          | 2.0800             | 2.1300             | TH             
0I2c.TextGrid             | PHONES          | 2.1300             | 2.2500             | IH1            
0I2c.TextGrid             | PHONES          | 2.2500             | 2.3200             | R              
0I2c.TextGrid             | PHONES          | 2.3200             | 2.4900             | IY0            


0KkN.TextGrid             | WORDS           | 0.3800             | 1.0300             | mess           
0KkN.TextGrid             | PHONES          | 0.3800             | 0.4700             | M              
0KkN.TextGrid             | PHONES          | 0.4700             | 0.5900             | EH1            
0KkN.TextGrid             | PHONES          | 0.5900             | 1.0300             | S              


0Nwr.TextGrid             | WORDS           | 0.2300             | 0.8600             | drawing        
