=========================================================================================================================
                                   PER-WORD COMPREHENSIVE DIFFERENCE REPORT
  Mean Start Difference: 0.046088s | Mean End Difference: 0.065203s | Threshold: 0.130405s
=========================================================================================================================
FILE NAME          | WORD         | HUMAN START  | HUMAN END   | MACH START  | MACH END   | START DIFF  | END DIFF   | STATUS  
---------------------------------------------------------------------------------------------------------------------------
00JS               | FRIGHTEN     | 0.5750     s | 0.9749    s | 0.4700    s | 1.0700   s | 0.10499   s | 0.09510  s | SAFE    
08XP               | PLAGUE       | 0.6277     s | 1.1537    s | 0.6400    s | 1.1900   s | 0.01235   s | 0.03633  s | SAFE    
0AlU               | BATH         | 0.6118     s | 1.0575    s | 0.6000    s | 1.1600   s | 0.01180   s | 0.10252  s | SAFE    
11Z5               | GIVE         | 0.2939     s | 0.5376    s | 0.3100    s | 0.5200   s | 0.01615   s | 0.01758  s | SAFE    
11Z5               | HIM          | 0.5376     s | 0.8052    s | 0.5200    s | 0.7700   s | 0.01758   s | 0.03524  s | SAFE    
11Z5               | TOO          | 0.8098     s | 1.0740    s | 0.7700    s | 1.1600   s | 0.03980   s | 0.08597  s | SAFE    
145q               | BETRAYAL     | 0.2559     s | 0.8594    s | 0.2900    s | 1.0300   s | 0.03415   s | 0.17059  s | FLAGGED 
14zF               | THE          | 0.5090     s | 0.6340    s | 0.4800    s | 0.5600   s | 0.02897   s | 0.07399  s | SAFE    
14zF               | COALITION    | 0.6340     s | 1.2836    s | 0.5600    s | 1.2600   s | 0.07399   s | 0.02360  s | SAFE    
14zF               | WAS          | 1.2836     s | 1.4466    s | 1.2600    s | 1.4500   s | 0.02360   s | 0.00344  s | SAFE    
14zF               | TO           | 1.4957     s | 1.5805    s | 1.4500    s | 1.5600   s | 0.04567   s | 0.02050  s | SAFE    
14zF               | PROVE        | 1.6251     s | 1.8796    s | 1.5600    s | 1.9000   s | 0.06515   s | 0.02036  s | SAFE    
14zF               | INADVISABLE  | 1.9846     s | 2.7034    s | 1.9300    s | 2.7400   s | 0.05456   s | 0.03663  s | SAFE    
